Area Code,Area Name,Year,Series,System of trade,System of trade footnote,Value,Footnotes,Source
1,"Total, all countries or areas",1995,Imports CIF (millions of US dollars),,,"5,099,057",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
1,"Total, all countries or areas",2005,Imports CIF (millions of US dollars),,,"10,577,013",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
1,"Total, all countries or areas",2010,Imports CIF (millions of US dollars),,,"15,275,115",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
1,"Total, all countries or areas",2015,Imports CIF (millions of US dollars),,,"16,482,346",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
1,"Total, all countries or areas",2018,Imports CIF (millions of US dollars),,,"19,448,147",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
1,"Total, all countries or areas",2019,Imports CIF (millions of US dollars),,,"18,870,155",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
1,"Total, all countries or areas",2020,Imports CIF (millions of US dollars),,,"17,552,638",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
1,"Total, all countries or areas",1995,Exports FOB (millions of US dollars),,,"5,050,238",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
1,"Total, all countries or areas",2005,Exports FOB (millions of US dollars),,,"10,373,445",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
1,"Total, all countries or areas",2010,Exports FOB (millions of US dollars),,,"15,102,218",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
1,"Total, all countries or areas",2015,Exports FOB (millions of US dollars),,,"16,384,279",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
